timestamp,open,high,low,close,volume,average,barCount
2026-03-12 18:01:00-04:00,5119.2,5119.2,5115.3,5115.3,3.0,5116.6,3
2026-03-12 18:02:00-04:00,5117.9,5117.9,5117.5,5117.5,2.0,5117.7,2
2026-03-12 18:03:00-04:00,5117.5,5117.5,5117.5,5117.5,0.0,5117.5,0
2026-03-12 18:04:00-04:00,5117.5,5117.5,5117.5,5117.5,0.0,5117.5,0
2026-03-12 18:05:00-04:00,5117.5,5117.5,5117.5,5117.5,0.0,5117.5,0
2026-03-12 18:06:00-04:00,5118.8,5118.8,5118.8,5118.8,1.0,5118.8,1
2026-03-12 18:07:00-04:00,5118.8,5118.8,5118.8,5118.8,0.0,5118.8,0
2026-03-12 18:08:00-04:00,5118.8,5118.8,5118.8,5118.8,0.0,5118.8,0
2026-03-12 18:09:00-04:00,5123.6,5123.6,5123.1,5123.1,2.0,5123.35,2
2026-03-12 18:10:00-04:00,5124.0,5124.0,5123.9,5123.9,2.0,5123.95,2
2026-03-12 18:11:00-04:00,5123.9,5123.9,5123.9,5123.9,0.0,5123.9,0
2026-03-12 18:12:00-04:00,5123.9,5123.9,5123.9,5123.9,0.0,5123.9,0
2026-03-12 18:13:00-04:00,5123.9,5123.9,5123.9,5123.9,0.0,5123.9,0
2026-03-12 18:14:00-04:00,5123.9,5123.9,5123.9,5123.9,0.0,5123.9,0
2026-03-12 18:15:00-04:00,5123.9,5123.9,5123.9,5123.9,0.0,5123.9,0
2026-03-12 18:16:00-04:00,5123.9,5123.9,5123.9,5123.9,0.0,5123.9,0
2026-03-12 18:17:00-04:00,5130.0,5130.0,5128.1,5128.1,2.0,5129.05,2
2026-03-12 18:18:00-04:00,5128.0,5130.3,5128.0,5130.3,2.0,5129.15,2
2026-03-12 18:19:00-04:00,5129.8,5129.8,5129.8,5129.8,1.0,5129.8,1
2026-03-12 18:20:00-04:00,5129.8,5129.8,5129.8,5129.8,0.0,5129.8,0
2026-03-12 18:21:00-04:00,5129.8,5129.8,5129.8,5129.8,0.0,5129.8,0
2026-03-12 18:22:00-04:00,5131.0,5131.0,5131.0,5131.0,1.0,5131.0,1
2026-03-12 18:23:00-04:00,5131.0,5131.0,5131.0,5131.0,0.0,5131.0,0
2026-03-12 18:24:00-04:00,5131.0,5131.0,5131.0,5131.0,0.0,5131.0,0
2026-03-12 18:25:00-04:00,5131.0,5131.0,5131.0,5131.0,0.0,5131.0,0
