date,open,high,low,close,volume,average,barCount
2026-04-09 00:29:59-04:00,4739.6,4739.6,4739.6,4739.6,0.0,4739.6,0
2026-04-09 00:30:00-04:00,4739.5,4739.7,4739.5,4739.7,6.0,4739.6,5
2026-04-09 00:30:01-04:00,4739.7,4739.7,4739.7,4739.7,0.0,4739.7,0
2026-04-09 00:30:02-04:00,4739.7,4739.7,4739.7,4739.7,0.0,4739.7,0
2026-04-09 00:30:03-04:00,4739.9,4739.9,4739.9,4739.9,2.0,4739.9,1
2026-04-09 00:30:04-04:00,4739.9,4739.9,4739.9,4739.9,0.0,4739.9,0
2026-04-09 00:30:05-04:00,4739.9,4739.9,4739.9,4739.9,0.0,4739.9,0
2026-04-09 00:30:06-04:00,4739.9,4739.9,4739.9,4739.9,0.0,4739.9,0
2026-04-09 00:30:07-04:00,4739.6,4739.8,4739.3,4739.8,17.0,4739.44,11
2026-04-09 00:30:08-04:00,4739.8,4739.8,4739.8,4739.8,0.0,4739.8,0
2026-04-09 00:30:09-04:00,4739.8,4739.8,4739.8,4739.8,0.0,4739.8,0
2026-04-09 00:30:10-04:00,4739.8,4739.8,4739.8,4739.8,0.0,4739.8,0
2026-04-09 00:30:11-04:00,4739.7,4739.7,4739.7,4739.7,2.0,4739.7,1
2026-04-09 00:30:12-04:00,4739.4,4739.4,4738.9,4739.0,21.0,4739.05,14
2026-04-09 00:30:13-04:00,4739.0,4739.1,4738.5,4738.5,10.0,4738.79,7
2026-04-09 00:30:14-04:00,4738.5,4738.5,4738.4,4738.4,4.0,4738.43,2
2026-04-09 00:30:15-04:00,4738.4,4738.4,4738.4,4738.4,1.0,4738.4,1
2026-04-09 00:30:16-04:00,4738.4,4738.6,4738.4,4738.6,4.0,4738.5,2
2026-04-09 00:30:17-04:00,4738.6,4738.6,4738.4,4738.4,5.0,4738.48,4
2026-04-09 00:30:18-04:00,4738.5,4738.5,4738.5,4738.5,2.0,4738.5,1
2026-04-09 00:30:19-04:00,4738.5,4738.5,4738.5,4738.5,0.0,4738.5,0
2026-04-09 00:30:20-04:00,4738.5,4738.5,4738.5,4738.5,0.0,4738.5,0
2026-04-09 00:30:21-04:00,4738.6,4738.6,4738.6,4738.6,1.0,4738.6,1
2026-04-09 00:30:22-04:00,4738.5,4738.5,4738.5,4738.5,2.0,4738.5,2
