timestamp,open,high,low,close,volume,average,barCount
2026-03-26 18:00:00-04:00,4403.9,4421.9,4400.6,4409.9,217.0,4411.33,167
2026-03-26 18:01:00-04:00,4411.0,4411.7,4407.3,4410.4,47.0,4409.8,43
2026-03-26 18:02:00-04:00,4410.9,4414.6,4406.6,4412.8,39.0,4410.02,35
2026-03-26 18:03:00-04:00,4414.0,4414.1,4408.8,4411.1,32.0,4410.39,28
2026-03-26 18:04:00-04:00,4410.6,4414.3,4410.4,4413.2,25.0,4412.79,25
2026-03-26 18:05:00-04:00,4413.6,4420.1,4413.3,4420.0,84.0,4416.68,62
2026-03-26 18:06:00-04:00,4420.5,4427.3,4420.5,4422.8,96.0,4423.78,77
2026-03-26 18:07:00-04:00,4423.6,4424.7,4418.0,4422.4,47.0,4420.76,42
2026-03-26 18:08:00-04:00,4421.1,4423.9,4420.4,4420.4,37.0,4422.18,32
2026-03-26 18:09:00-04:00,4420.8,4421.8,4419.8,4421.4,19.0,4420.83,19
2026-03-26 18:10:00-04:00,4421.4,4425.0,4418.6,4419.1,79.0,4421.74,72
2026-03-26 18:11:00-04:00,4419.3,4421.4,4419.3,4420.1,23.0,4420.25,21
2026-03-26 18:12:00-04:00,4420.1,4428.3,4420.0,4427.9,73.0,4423.56,57
2026-03-26 18:13:00-04:00,4426.9,4430.7,4426.4,4427.7,53.0,4429.0,48
2026-03-26 18:14:00-04:00,4428.5,4428.5,4426.4,4427.2,33.0,4427.55,33
2026-03-26 18:15:00-04:00,4427.8,4434.0,4427.8,4430.2,82.0,4430.81,74
2026-03-26 18:16:00-04:00,4430.3,4431.2,4428.0,4430.0,35.0,4429.81,33
2026-03-26 18:17:00-04:00,4429.6,4429.6,4428.9,4428.9,2.0,4429.25,2
2026-03-26 18:18:00-04:00,4428.5,4432.9,4428.5,4432.9,37.0,4431.21,34
2026-03-26 18:19:00-04:00,4433.3,4434.8,4433.0,4433.0,26.0,4433.72,24
2026-03-26 18:20:00-04:00,4433.3,4433.5,4430.0,4430.9,26.0,4431.31,20
2026-03-26 18:21:00-04:00,4430.8,4432.6,4430.0,4430.1,31.0,4431.31,24
2026-03-26 18:22:00-04:00,4431.1,4431.1,4430.2,4431.0,11.0,4430.78,11
2026-03-26 18:23:00-04:00,4430.3,4430.7,4425.6,4425.6,45.0,4428.78,40
