Date,AAPL,BA,DIS,GE,JPM,MSFT,TSLA,WMT
2017-07-03,35.875,198.58999633789062,107.45999908447266,211.15383911132812,92.75,68.16999816894531,23.507999420166016,75.36000061035156
2017-07-05,36.022499084472656,201.80999755859375,105.62999725341797,210.38461303710938,93.68000030517578,69.08000183105469,21.805999755859375,75.31999969482422
2017-07-06,35.682498931884766,201.47999572753906,103.3499984741211,202.38461303710938,93.37999725341797,68.56999969482422,20.588666915893555,75.47000122070312
2017-07-07,36.04499816894531,202.3699951171875,103.31999969482422,201.15383911132812,93.8499984741211,69.45999908447266,20.881332397460938,75.33000183105469
2017-07-10,36.26499938964844,203.9600067138672,103.58999633789062,200.3076934814453,93.19000244140625,69.9800033569336,21.06999969482422,73.2300033569336
2017-07-11,36.38249969482422,206.27000427246094,103.83999633789062,202.92308044433594,92.83000183105469,69.98999786376953,21.814666748046875,73.47000122070312
2017-07-12,36.435001373291016,206.44000244140625,104.37999725341797,204.46153259277344,92.51000213623047,71.1500015258789,21.968000411987305,73.94000244140625
2017-07-13,36.942501068115234,206.22999572753906,104.29000091552734,206.07691955566406,93.0999984741211,71.7699966430664,21.560667037963867,75.05000305175781
2017-07-14,37.2599983215332,208.50999450683594,105.08999633789062,206.0,92.25,72.77999877929688,21.851999282836914,76.33999633789062
2017-07-17,37.38999938964844,209.0,104.79000091552734,206.3076934814453,91.38999938964844,73.3499984741211,21.30466651916504,76.37000274658203
2017-07-18,37.52000045776367,208.24000549316406,105.75,206.84616088867188,91.06999969482422,73.30000305175781,21.882667541503906,76.19999694824219
2017-07-19,37.755001068115234,210.8800048828125,106.81999969482422,207.23077392578125,91.19999694824219,73.86000061035156,21.68400001525879,75.87000274658203
2017-07-20,37.584999084472656,210.27999877929688,107.36000061035156,205.3076934814453,91.19999694824219,74.22000122070312,21.994667053222656,76.0199966430664
2017-07-21,37.567501068115234,212.13999938964844,107.08999633789062,199.3076934814453,90.88999938964844,73.79000091552734,21.893333435058594,76.1500015258789
2017-07-24,38.022499084472656,212.17999267578125,107.0,195.61538696289062,91.27999877929688,73.5999984741211,22.834667205810547,76.88999938964844
2017-07-25,38.185001373291016,212.4600067138672,106.41999816894531,195.6923065185547,92.80000305175781,74.19000244140625,22.639999389648438,78.5199966430664
2017-07-26,38.3650016784668,233.4499969482422,106.94000244140625,196.84616088867188,91.93000030517578,74.05000305175781,22.92333221435547,78.9000015258789
2017-07-27,37.63999938964844,241.0,110.0,198.38461303710938,91.55000305175781,73.16000366210938,22.297332763671875,79.77999877929688
2017-07-28,37.375,241.27000427246094,109.95999908447266,196.38461303710938,91.27999877929688,73.04000091552734,22.33799934387207,79.80999755859375
2017-07-31,37.182498931884766,242.4600067138672,109.93000030517578,197.0,91.80000305175781,72.69999694824219,21.564666748046875,79.98999786376953
2017-08-01,37.51250076293945,239.44000244140625,110.61000061035156,195.6923065185547,93.02999877929688,72.58000183105469,21.30466651916504,80.5
2017-08-02,39.28499984741211,237.9499969482422,108.66999816894531,196.3076934814453,93.11000061035156,72.26000213623047,21.72599983215332,80.52999877929688
2017-08-03,38.89250183105469,238.25,109.12000274658203,198.15383911132812,92.5,72.1500015258789,23.139333724975586,80.87000274658203
2017-08-04,39.09749984741211,237.7100067138672,107.69000244140625,198.3076934814453,93.66000366210938,72.68000030517578,23.79400062561035,80.4800033569336
2017-08-07,39.70249938964844,240.22999572753906,106.3499984741211,197.15383911132812,94.0199966430664,72.4000015258789,23.67799949645996,81.27999877929688
